Leaf-length (mm),Leaf-width (mm),Plant Name
80,40,Maple
85,38,Maple
80,42,Maple
75,36,Maple
78,41,Maple
82,43,Maple
88,45,Maple
95,47,Maple
84,39,Maple
87,44,Maple
60,32,Oak
62,34,Oak
64,33,Oak
55,31,Oak
58,30,Oak
61,36,Oak
67,38,Oak
59,33,Oak
60,31,Oak
62,35,Oak
55,30,American Beech
58,32,American Beech
52,29,American Beech
60,34,American Beech
63,37,American Beech
67,39,American Beech
55,33,American Beech
61,36,American Beech
59,32,American Beech
62,35,American Beech
